"REF_DATE","GEO","DGUID","Population and dwelling counts (11)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Population, 2021","","0","units","0","","1.1","36991981","","","","0"
"2021","Canada","2021A000011124","Population, 2016","","0","units","0","","1.2","35151728","","","","0"
"2021","Canada","2021A000011124","Population percentage change, 2016 to 2021","","0","units","0","","1.3","5.2","","","","1"
"2021","Canada","2021A000011124","Total private dwellings, 2021","","0","units","0","","1.4","16284235","","","","0"
"2021","Canada","2021A000011124","Total private dwellings, 2016","","0","units","0","","1.5","15412443","","","","0"
"2021","Canada","2021A000011124","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","1.6","5.7","","","","1"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.7","14978941","","","","0"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents, 2016","","0","units","0","","1.8","14072079","","","","0"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","1.9","6.4","","","","1"
"2021","Canada","2021A000011124","Land area in square kilometres, 2021","","0","units","0","","1.10","8788702.80","","","","2"
"2021","Canada","2021A000011124","Population density per square kilometre, 2021","","0","units","0","","1.11","4.2","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Population, 2021","","0","units","0","","2.1","510550","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Population, 2016","","0","units","0","","2.2","519716","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Population percentage change, 2016 to 2021","","0","units","0","","2.3","-1.8","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Total private dwellings, 2021","","0","units","0","","2.4","269184","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total private dwellings, 2016","","0","units","0","","2.5","265739","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","2.6","1.3","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.7","223253","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Private dwellings occupied by usual residents, 2016","","0","units","0","","2.8","218673","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","2.9","2.1","","","","1"
