"REF_DATE","GEO","DGUID","Gross domestic product (GDP) and related measures","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Total economy","Dollars","81","millions","6","v1001805537","1.1.1","1867032.1","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Total tourism activities","Dollars","81","millions","6","v1001805538","1.1.2","35211.0","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Total tourism industries","Dollars","81","millions","6","v1001805539","1.1.3","26357.9","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Total transportation","Dollars","81","millions","6","v1001805540","1.1.4","8221.6","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Air transportation","Dollars","81","millions","6","v1001805541","1.1.5","5462.2","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Railway transportation","Dollars","81","millions","6","v1001805542","1.1.6","1535.9","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Water transportation","Dollars","81","millions","6","v1001805543","1.1.7","93.5","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Bus transportation","Dollars","81","millions","6","v1001805544","1.1.8","378.2","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Taxis","Dollars","81","millions","6","v1001805545","1.1.9","189.5","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Vehicle rental","Dollars","81","millions","6","v1001805546","1.1.10","562.3","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Total accommodation","Dollars","81","millions","6","v1001805547","1.1.11","7455.7","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Hotels","Dollars","81","millions","6","v1001805548","1.1.12","5355.6","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Motels","Dollars","81","millions","6","v1001805549","1.1.13","439.9","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Camping","Dollars","81","millions","6","v1001805550","1.1.14","759.2","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Other accommodation","Dollars","81","millions","6","v1001805551","1.1.15","901.0","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Food and beverage services","Dollars","81","millions","6","v1001805552","1.1.16","5553.4","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Recreation and entertainment","Dollars","81","millions","6","v1001805553","1.1.17","2705.5","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Travel services","Dollars","81","millions","6","v1001805554","1.1.18","2421.6","","","","1"
"2014","Canada","2016A000011124","Gross domestic product (GDP) at basic prices","Other industries","Dollars","81","millions","6","v1001805555","1.1.19","8853.1","","","","1"
"2014","Canada","2016A000011124","Labour income","Total economy","Dollars","81","millions","6","v1001805556","1.2.1","997815.0","","","","1"
"2014","Canada","2016A000011124","Labour income","Total tourism activities","Dollars","81","millions","6","v1001805557","1.2.2","22350.7","","","","1"
"2014","Canada","2016A000011124","Labour income","Total tourism industries","Dollars","81","millions","6","v1001805558","1.2.3","16861.4","","","","1"
"2014","Canada","2016A000011124","Labour income","Total transportation","Dollars","81","millions","6","v1001805559","1.2.4","4175.4","","","","1"
"2014","Canada","2016A000011124","Labour income","Air transportation","Dollars","81","millions","6","v1001805560","1.2.5","3315.5","","","","1"
"2014","Canada","2016A000011124","Labour income","Railway transportation","Dollars","81","millions","6","v1001805561","1.2.6","315.0","","","","1"
"2014","Canada","2016A000011124","Labour income","Water transportation","Dollars","81","millions","6","v1001805562","1.2.7","58.3","","","","1"
