"REF_DATE","GEO","DGUID","Area","Land cover and land use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v106960507","1.1.1","605","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v106960508","1.1.2","11","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v106960509","1.1.3","7","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v106960510","1.1.4","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v106960511","1.1.5","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v106960512","1.1.6","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v106960513","1.1.7","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v106960514","1.1.8","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v106960515","1.2.1","5313","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v106960516","1.2.2","37","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v106960517","1.2.3","23","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v106960518","1.2.4","470","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v106960519","1.2.5","4783","","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v106960520","1.2.6","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v106960521","1.2.7","","..","","","0"
"1971","Abbotsford - Mission (census metropolitan area), British Columbia","2011S0503932","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v106960522","1.2.8","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v122596342","37.1.1","1125","","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v122596343","37.1.2","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v122596344","37.1.3","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v122596345","37.1.4","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596346","37.1.5","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596347","37.1.6","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596348","37.1.7","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596349","37.1.8","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v122596350","37.2.1","6705","","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v122596351","37.2.2","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v122596352","37.2.3","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v122596353","37.2.4","0","","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596354","37.2.5","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596355","37.2.6","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596356","37.2.7","","..","","","0"
"1971","Baie-Comeau (census agglomeration), Quebec","2011S0504406","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596357","37.2.8","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v106960523","2.1.1","898","","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v106960524","2.1.2","14","","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v106960525","2.1.3","10","","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v106960526","2.1.4","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v106960527","2.1.5","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v106960528","2.1.6","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v106960529","2.1.7","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v106960530","2.1.8","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v106960531","2.2.1","3766","","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v106960532","2.2.2","54","","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v106960533","2.2.3","40","","","","0"
