"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1374464762","1.1","442050","E","","","0"
"2015-01","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1374464763","1.2","15060885","D","","","0"
"2015-01","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v1374464764","1.3","2.9","E","","","1"
"2015-01","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1374464765","2.1","","F","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1374464766","2.2","203575","E","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v1374464767","2.3","","F","","","1"
"2015-01","Avalon Peninsula, Newfoundland and Labrador","2016S05001010","Job vacancies","Number","223","units","0","v1374464768","3.1","","F","","","0"
"2015-01","Avalon Peninsula, Newfoundland and Labrador","2016S05001010","Payroll employees","Number","223","units","0","v1374464769","3.2","","F","","","0"
"2015-01","Avalon Peninsula, Newfoundland and Labrador","2016S05001010","Job vacancy rate","Percentage","242","units","0","v1374464770","3.3","","F","","","1"
"2015-01","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","Job vacancies","Number","223","units","0","v1374464771","4.1","","F","","","0"
"2015-01","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","Payroll employees","Number","223","units","0","v1374464772","4.2","48855","E","","","0"
"2015-01","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","Job vacancy rate","Percentage","242","units","0","v1374464773","4.3","","F","","","1"
"2015-01","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Job vacancies","Number","223","units","0","v1374464774","5.1","","F","","","0"
"2015-01","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Payroll employees","Number","223","units","0","v1374464775","5.2","","F","","","0"
"2015-01","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Job vacancy rate","Percentage","242","units","0","v1374464776","5.3","","F","","","1"
"2015-01","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1374464777","6.1","","F","","","0"
"2015-01","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1374464778","6.2","58480","E","","","0"
"2015-01","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v1374464779","6.3","","F","","","1"
"2015-01","Prince Edward Island","2016S05001110","Job vacancies","Number","223","units","0","v1374464780","7.1","","F","","","0"
"2015-01","Prince Edward Island","2016S05001110","Payroll employees","Number","223","units","0","v1374464781","7.2","58480","E","","","0"
"2015-01","Prince Edward Island","2016S05001110","Job vacancy rate","Percentage","242","units","0","v1374464782","7.3","","F","","","1"
"2015-01","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1374464783","8.1","10605","E","","","0"
"2015-01","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1374464784","8.2","380655","E","","","0"
"2015-01","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v1374464785","8.3","2.7","E","","","1"
"2015-01","Cape Breton, Nova Scotia","2016S05001210","Job vacancies","Number","223","units","0","v1374464786","9.1","1055","E","","","0"
"2015-01","Cape Breton, Nova Scotia","2016S05001210","Payroll employees","Number","223","units","0","v1374464787","9.2","46450","E","","","0"
"2015-01","Cape Breton, Nova Scotia","2016S05001210","Job vacancy rate","Percentage","242","units","0","v1374464788","9.3","","F","","","1"
"2015-01","North Shore, Nova Scotia","2016S05001220","Job vacancies","Number","223","units","0","v1374464789","10.1","2280","E","","","0"
